InvoiceNo,StockCode,Quantity,CustomerID
INV200000,P100328,2,10457
INV200000,P100202,2,10109
INV200000,P100063,3,10106
INV200001,P100007,2,10023
INV200001,P100320,4,10539
INV200001,P100483,1,10585
INV200002,P100346,4,10546
INV200002,P100259,4,10864
INV200002,P100383,4,10743
INV200003,P100126,3,10688
INV200003,P100099,4,10114
INV200003,P100021,4,10113
INV200004,P100159,3,10798
INV200004,P100157,2,10934
INV200004,P100413,2,10288
INV200005,P100216,4,10624
INV200005,P100457,2,10530
INV200005,P100301,2,10803
INV200006,P100230,2,10722
INV200006,P100177,1,10019
INV200006,P100061,5,10551
INV200007,P100029,3,10293
INV200007,P100477,2,10855
INV200007,P100124,2,10055
INV200008,P100477,5,10360
INV200008,P100289,2,10353
INV200008,P100388,3,10799
INV200009,P100469,2,10477
INV200009,P100306,2,10270
INV200009,P100178,1,10272
INV200010,P100477,1,10175
INV200010,P100245,2,10711
INV200010,P100199,3,10049
INV200011,P100102,6,10729
INV200011,P100391,6,10645
INV200011,P100210,1,10031
INV200012,P100367,3,10564
INV200012,P100037,5,10130
INV200012,P100108,5,10402
INV200013,P100000,1,10364
INV200013,P100445,2,10442
INV200013,P100453,3,10383
INV200014,P100344,2,10562
INV200014,P100080,1,10467
INV200014,P100194,3,10711
INV200015,P100491,3,10378
INV200015,P100056,1,10314
INV200015,P100056,1,10433
INV200016,P100011,3,10717
INV200016,P100118,3,10906
INV200016,P100375,3,10643
INV200017,P100353,4,10929
INV200017,P100490,3,10571
INV200017,P100499,2,10467
INV200018,P100458,1,10208
INV200018,P100263,5,10546
INV200018,P100051,1,10874
INV200019,P100240,2,10453
INV200019,P100429,7,10457
INV200019,P100063,5,10251
INV200020,P100015,2,10373
INV200020,P100372,3,10659
INV200020,P100080,1,10108
INV200021,P100177,4,10901
INV200021,P100447,1,10413
INV200021,P100149,4,10688
INV200022,P100405,2,10577
INV200022,P100169,3,10185
INV200022,P100337,2,10289
INV200023,P100483,1,10611
INV200023,P100195,4,10870
INV200023,P100464,5,10122
INV200024,P100172,5,10568
INV200024,P100274,4,10621
INV200024,P100469,2,10208
INV200025,P100248,2,10405
INV200025,P100454,2,10845
INV200025,P100415,3,10861
INV200026,P100268,3,10385
INV200026,P100081,3,10414
INV200026,P100399,2,10282
INV200027,P100187,3,10578
INV200027,P100027,5,10012
INV200027,P100144,2,10152
INV200028,P100162,4,10595
INV200028,P100133,5,10087
INV200028,P100051,3,10081
INV200029,P100132,5,10989
INV200029,P100347,4,10527
INV200029,P100483,4,10178
INV200030,P100405,5,10070
INV200030,P100265,4,10384
INV200030,P100386,3,10782
INV200031,P100164,4,10915
INV200031,P100164,4,10734
INV200031,P100351,4,10644
INV200032,P100167,3,10227
INV200032,P100311,5,10255
INV200032,P100249,1,10231
INV200033,P100321,3,10072
INV200033,P100100,1,10696
INV200033,P100388,5,10783
INV200034,P100387,2,10688
INV200034,P100245,1,10559
INV200034,P100322,1,10543
INV200035,P100315,1,10966
INV200035,P100314,4,10858
INV200035,P100175,4,10217
INV200036,P100331,5,10931
INV200036,P100485,5,10576
INV200036,P100205,2,10326
INV200037,P100031,2,10033
INV200037,P100407,2,10604
INV200037,P100055,2,10285
INV200038,P100293,3,10361
INV200038,P100124,2,10179
INV200038,P100040,2,10259
INV200039,P100400,4,10298
